	SPU_peptide	diadema.best
OG0010583	SPU_020459	TRINITY_DN16303_c0_g1_i4.p1.p1
OG0010584	SPU_020462	TRINITY_DN20408_c0_g1_i5.p1.p1
OG0010585	SPU_020463	TRINITY_DN10295_c0_g1_i2.p1.p1
OG0010586	SPU_020464	TRINITY_DN9855_c0_g1_i1.p1.p1
OG0010587	SPU_020471	TRINITY_DN38317_c0_g1_i2.p1.p1
OG0010588	SPU_020472	TRINITY_DN170643_c0_g1_i1.p1.p1
OG0010589	SPU_020475	TRINITY_DN35429_c2_g1_i1.p1.p1
OG0010590	SPU_020492	TRINITY_DN11336_c0_g1_i4.p2.p1
OG0010591	SPU_020496	TRINITY_DN268443_c0_g1_i1.p1.p1
OG0010592	SPU_020505	TRINITY_DN9280_c3_g1_i2.p1.p1
OG0010593	SPU_020507	TRINITY_DN1846_c0_g1_i10.p1.p1
OG0010594	SPU_020509	TRINITY_DN15725_c0_g1_i2.p1.p1
OG0010595	SPU_020511	TRINITY_DN20115_c0_g1_i1.p1.p1
OG0010596	SPU_020518	TRINITY_DN3337_c0_g1_i2.p1.p1
OG0010597	SPU_020526	TRINITY_DN525_c0_g1_i4.p1.p1
OG0010598	SPU_020528	TRINITY_DN9509_c0_g1_i1.p1.p2
OG0010599	SPU_020539	TRINITY_DN30377_c0_g1_i3.p1.p1
OG0010600	SPU_020541	TRINITY_DN8925_c0_g1_i4.p1.p1
OG0010601	SPU_020546	TRINITY_DN24087_c0_g1_i2.p1.p1
OG0010602	SPU_020551	TRINITY_DN11109_c0_g1_i3.p1.p1
OG0010603	SPU_020554	TRINITY_DN19444_c0_g2_i1.p1.p1
OG0010604	SPU_020560	TRINITY_DN12039_c0_g1_i3.p1.p1
OG0010605	SPU_020574	TRINITY_DN2186_c0_g1_i5.p5.p2
OG0010606	SPU_020575	TRINITY_DN69786_c0_g1_i2.p1.p1
OG0010607	SPU_020579	TRINITY_DN3000_c3_g1_i3.p1.p1
OG0010608	SPU_020587	TRINITY_DN26095_c0_g1_i3.p1.p1
OG0010609	SPU_020598	TRINITY_DN14214_c0_g1_i3.p1.p1
OG0010610	SPU_020600	TRINITY_DN1907_c0_g1_i1.p1.p1
OG0010611	SPU_020601	TRINITY_DN1852_c1_g1_i1.p1.p1
OG0010612	SPU_020608	TRINITY_DN5809_c1_g1_i6.p1.p1
OG0010613	SPU_020610	TRINITY_DN1283_c0_g1_i2.p1.p1
OG0010614	SPU_020612	TRINITY_DN16078_c0_g1_i1.p1.p1
OG0010615	SPU_020615	TRINITY_DN14793_c1_g1_i3.p1.p1
OG0010616	SPU_020616	TRINITY_DN29482_c0_g1_i5.p1.p1
OG0010617	SPU_020617	TRINITY_DN8226_c0_g1_i1.p1.p1
OG0010618	SPU_020622	TRINITY_DN23791_c0_g1_i4.p2.p1
OG0010619	SPU_020625	TRINITY_DN14754_c1_g1_i4.p1.p1
OG0010620	SPU_020629	TRINITY_DN35355_c0_g1_i2.p1.p1
OG0010621	SPU_020638	TRINITY_DN74903_c0_g1_i1.p1.p1
OG0010622	SPU_020642	TRINITY_DN2664_c0_g1_i3.p1.p1
OG0010623	SPU_020645	TRINITY_DN66189_c0_g1_i4.p1.p1
OG0010624	SPU_020662	TRINITY_DN10785_c0_g1_i4.p1.p1
OG0010625	SPU_020667	TRINITY_DN75706_c0_g1_i5.p1.p1
OG0010626	SPU_020691	TRINITY_DN4683_c0_g1_i4.p1.p1
OG0010627	SPU_020696	TRINITY_DN13629_c0_g1_i3.p1.p1
OG0010628	SPU_020698	TRINITY_DN33962_c1_g1_i2.p1.p1
OG0010629	SPU_020713	TRINITY_DN1494_c0_g1_i5.p1.p1
OG0010630	SPU_020716	TRINITY_DN267879_c0_g1_i1.p1.p1
OG0010631	SPU_020720	TRINITY_DN50024_c0_g1_i1.p1.p1
OG0010632	SPU_020727	TRINITY_DN29354_c0_g1_i5.p1.p1
OG0010633	SPU_020730	TRINITY_DN2646_c0_g1_i5.p2.p1
OG0010634	SPU_020746	TRINITY_DN31894_c0_g1_i3.p1.p1
OG0010635	SPU_020747	TRINITY_DN330_c0_g1_i1.p1.p1
OG0010636	SPU_020749	TRINITY_DN7783_c0_g1_i3.p1.p1
OG0010637	SPU_020750	TRINITY_DN26845_c2_g1_i1.p1.p1
OG0010638	SPU_020762	TRINITY_DN16249_c0_g1_i4.p1.p1
OG0010639	SPU_020763	TRINITY_DN53951_c0_g1_i4.p1.p1
OG0010640	SPU_020769	TRINITY_DN7627_c0_g1_i7.p1.p1
OG0010641	SPU_020771	TRINITY_DN8070_c0_g1_i2.p1.p1
OG0010642	SPU_020774	TRINITY_DN2099_c0_g1_i3.p1.p1
OG0010643	SPU_020778	TRINITY_DN7186_c0_g1_i3.p1.p1
OG0010644	SPU_020783	TRINITY_DN32230_c0_g2_i1.p1.p1
OG0010645	SPU_020786	TRINITY_DN153928_c0_g1_i8.p1.p1
OG0010646	SPU_020787	TRINITY_DN67600_c0_g1_i1.p1.p1
OG0010647	SPU_020789	TRINITY_DN7947_c1_g2_i3.p1.p1
OG0010648	SPU_020793	TRINITY_DN37808_c0_g1_i3.p1.p1
OG0010649	SPU_020796	TRINITY_DN24215_c0_g1_i2.p1.p1
OG0010650	SPU_020797	TRINITY_DN70835_c0_g1_i2.p1.p1
OG0010651	SPU_020802	TRINITY_DN3949_c0_g1_i1.p1.p1
OG0010652	SPU_020813	TRINITY_DN26690_c0_g1_i1.p1.p1
OG0010653	SPU_020817	TRINITY_DN957_c0_g1_i4.p1.p1
OG0010654	SPU_020825	TRINITY_DN114660_c0_g1_i1.p1.p1
OG0010655	SPU_020828	TRINITY_DN55540_c0_g1_i7.p1.p1
OG0010656	SPU_020829	TRINITY_DN34529_c0_g1_i6.p1.p1
OG0010657	SPU_020830	TRINITY_DN191189_c0_g1_i1.p1.p1
OG0010658	SPU_020833	TRINITY_DN6469_c0_g1_i2.p1.p1
OG0010659	SPU_020835	TRINITY_DN2257_c1_g1_i2.p1.p1
OG0010660	SPU_020851	TRINITY_DN7597_c1_g1_i5.p1.p1
OG0010661	SPU_020856	TRINITY_DN29366_c0_g1_i3.p1.p1
OG0010662	SPU_020859	TRINITY_DN65010_c0_g1_i3.p1.p1
OG0010663	SPU_020861	TRINITY_DN4115_c0_g1_i8.p1.p1
OG0010664	SPU_020863	TRINITY_DN606_c1_g1_i5.p1.p1
OG0010665	SPU_020869	TRINITY_DN12773_c0_g2_i1.p1.p1
OG0010666	SPU_020870	TRINITY_DN5984_c0_g1_i6.p1.p1
OG0010667	SPU_020871	TRINITY_DN43048_c0_g1_i1.p1.p1
OG0010668	SPU_020884	TRINITY_DN48248_c0_g1_i1.p6.p2
OG0010669	SPU_020888	TRINITY_DN6513_c0_g2_i1.p1.p1
OG0010670	SPU_020894	TRINITY_DN7282_c1_g1_i5.p1.p1
OG0010671	SPU_020897	TRINITY_DN112747_c0_g1_i1.p1.p1
OG0010672	SPU_020898	TRINITY_DN4076_c0_g1_i5.p1.p1
OG0010673	SPU_020900	TRINITY_DN11699_c0_g1_i2.p1.p1
OG0010674	SPU_020902	TRINITY_DN6657_c0_g1_i2.p1.p1
OG0010675	SPU_020904	TRINITY_DN17894_c0_g1_i3.p1.p1
OG0010676	SPU_020906	TRINITY_DN192705_c0_g1_i1.p1.p1
OG0010677	SPU_020907	TRINITY_DN17266_c0_g1_i1.p1.p1
OG0010678	SPU_020914	TRINITY_DN41574_c0_g1_i11.p1.p2
OG0010679	SPU_020921	TRINITY_DN138028_c0_g1_i1.p1.p1
OG0010680	SPU_020922	TRINITY_DN2783_c0_g1_i3.p1.p1
OG0010681	SPU_020933	TRINITY_DN2428_c8_g1_i7.p1.p1
OG0010682	SPU_020940	TRINITY_DN4269_c0_g1_i1.p1.p1
OG0010683	SPU_020945	TRINITY_DN27250_c0_g1_i1.p1.p1
OG0010684	SPU_020946	TRINITY_DN769_c2_g1_i2.p1.p1
OG0010685	SPU_020958	TRINITY_DN13139_c0_g1_i8.p1.p1
OG0010686	SPU_020964	TRINITY_DN28979_c0_g1_i2.p1.p1
OG0010687	SPU_020966	TRINITY_DN23482_c0_g1_i2.p1.p1
OG0010688	SPU_020967	TRINITY_DN4135_c0_g1_i2.p1.p1
OG0010689	SPU_020974	TRINITY_DN12132_c0_g1_i7.p1.p1
OG0010690	SPU_020979	TRINITY_DN112977_c0_g1_i2.p1.p1
OG0010691	SPU_020980	TRINITY_DN1418_c8_g1_i1.p1.p1
OG0010692	SPU_020999	TRINITY_DN23100_c0_g1_i4.p1.p1
OG0010693	SPU_021015	TRINITY_DN380966_c0_g1_i1.p1.p1
OG0010694	SPU_021017	TRINITY_DN20732_c1_g1_i3.p1.p1
OG0010695	SPU_021024	TRINITY_DN26903_c0_g1_i1.p1.p1
OG0010696	SPU_021028	TRINITY_DN2999_c3_g1_i1.p1.p1
OG0010697	SPU_021033	TRINITY_DN2512_c0_g1_i2.p1.p1
OG0010698	SPU_021034	TRINITY_DN4017_c0_g1_i2.p1.p1
OG0010699	SPU_021036	TRINITY_DN8050_c0_g1_i1.p1.p1
OG0010700	SPU_021037	TRINITY_DN10645_c0_g1_i2.p1.p1
OG0010701	SPU_021048	TRINITY_DN16009_c0_g1_i5.p1.p1
OG0010702	SPU_021060	TRINITY_DN1929_c0_g1_i6.p1.p1
OG0010703	SPU_021065	TRINITY_DN83467_c0_g1_i7.p1.p1
OG0010704	SPU_021066	TRINITY_DN37972_c0_g1_i8.p1.p1
OG0010705	SPU_021073	TRINITY_DN23154_c0_g1_i1.p1.p1
OG0010706	SPU_021076	TRINITY_DN2759_c0_g1_i1.p1.p1
OG0010707	SPU_021078	TRINITY_DN461_c0_g1_i1.p1.p1
OG0010708	SPU_021080	TRINITY_DN68337_c0_g1_i3.p1.p1
OG0010709	SPU_021081	TRINITY_DN46029_c1_g1_i3.p1.p1
OG0010710	SPU_021084	TRINITY_DN15176_c0_g1_i2.p1.p1
OG0010711	SPU_021092	TRINITY_DN30212_c0_g1_i1.p1.p1
OG0010712	SPU_021093	TRINITY_DN50074_c0_g1_i3.p1.p1
OG0010713	SPU_021107	TRINITY_DN45948_c0_g1_i4.p1.p1
OG0010714	SPU_021108	TRINITY_DN11439_c1_g1_i4.p1.p1
OG0010715	SPU_021109	TRINITY_DN10915_c0_g1_i3.p1.p1
OG0010716	SPU_021120	TRINITY_DN8577_c1_g1_i3.p1.p1
OG0010717	SPU_021128	TRINITY_DN2471_c0_g1_i4.p1.p1
OG0010718	SPU_021135	TRINITY_DN26227_c0_g1_i6.p1.p1
OG0010719	SPU_021144	TRINITY_DN7568_c0_g1_i7.p1.p1
OG0010720	SPU_021149	TRINITY_DN40760_c0_g2_i2.p1.p1
OG0010721	SPU_021150	TRINITY_DN15556_c0_g1_i2.p1.p1
OG0010722	SPU_021156	TRINITY_DN31777_c2_g1_i6.p1.p1
OG0010723	SPU_021157	TRINITY_DN26786_c1_g1_i1.p1.p1
OG0010724	SPU_021167	TRINITY_DN11389_c0_g1_i5.p1.p1
OG0010725	SPU_021176	TRINITY_DN28345_c0_g1_i1.p1.p1
OG0010726	SPU_021177	TRINITY_DN2241_c5_g1_i1.p1.p1
OG0010727	SPU_021179	TRINITY_DN24895_c0_g1_i2.p1.p1
OG0010728	SPU_021183	TRINITY_DN271253_c0_g1_i1.p1.p1
OG0010729	SPU_021186	TRINITY_DN904_c0_g1_i8.p1.p1
OG0010730	SPU_021189	TRINITY_DN63572_c0_g1_i8.p1.p1
OG0010731	SPU_021195	TRINITY_DN8692_c0_g1_i1.p1.p1
OG0010732	SPU_021196	TRINITY_DN3622_c0_g1_i4.p1.p1
OG0010733	SPU_021199	TRINITY_DN12515_c0_g1_i2.p1.p1
OG0010734	SPU_021203	TRINITY_DN21325_c0_g1_i1.p1.p1
OG0010735	SPU_021209	TRINITY_DN2100_c0_g1_i3.p1.p1
OG0010736	SPU_021212	TRINITY_DN341525_c0_g1_i1.p1.p1
OG0010737	SPU_021217	TRINITY_DN300_c0_g1_i7.p1.p1
OG0010738	SPU_021219	TRINITY_DN319358_c0_g1_i1.p1.p1
OG0010739	SPU_021220	TRINITY_DN330466_c0_g1_i1.p1.p1
OG0010740	SPU_021222	TRINITY_DN1225_c0_g1_i4.p1.p1
OG0010741	SPU_021233	TRINITY_DN16372_c0_g1_i5.p1.p1
OG0010742	SPU_021234	TRINITY_DN12897_c0_g1_i11.p1.p1
OG0010743	SPU_021237	TRINITY_DN53947_c0_g1_i2.p1.p1
OG0010744	SPU_021238	TRINITY_DN25741_c0_g1_i7.p1.p1
OG0010745	SPU_021241	TRINITY_DN25462_c0_g1_i2.p1.p1
OG0010746	SPU_021242	TRINITY_DN28297_c0_g1_i2.p1.p1
OG0010747	SPU_021258	TRINITY_DN383714_c0_g1_i1.p1.p2
OG0010748	SPU_021264	TRINITY_DN43780_c0_g1_i6.p2.p3
OG0010749	SPU_021265	TRINITY_DN59411_c0_g1_i1.p2.p1
OG0010750	SPU_021266	TRINITY_DN59411_c0_g1_i1.p1.p1
OG0010751	SPU_021271	TRINITY_DN24330_c0_g1_i2.p1.p1
OG0010752	SPU_021280	TRINITY_DN19826_c0_g1_i1.p1.p1
OG0010753	SPU_021281	TRINITY_DN31618_c0_g1_i2.p1.p1
OG0010754	SPU_021286	TRINITY_DN65155_c0_g1_i4.p1.p1
OG0010755	SPU_021296	TRINITY_DN20597_c0_g1_i6.p1.p1
OG0010756	SPU_021297	TRINITY_DN41520_c0_g1_i3.p1.p1
OG0010757	SPU_021300	TRINITY_DN21883_c0_g1_i4.p1.p1
OG0010758	SPU_021302	TRINITY_DN5192_c0_g1_i2.p1.p1
OG0010759	SPU_021305	TRINITY_DN2056_c0_g1_i3.p1.p1
OG0010760	SPU_021306	TRINITY_DN19131_c0_g1_i10.p1.p1
OG0010761	SPU_021307	TRINITY_DN5925_c0_g1_i8.p1.p1
OG0010762	SPU_021312	TRINITY_DN11567_c0_g1_i11.p1.p1
OG0010763	SPU_021314	TRINITY_DN8794_c1_g1_i5.p1.p1
OG0010764	SPU_021324	TRINITY_DN15898_c0_g1_i1.p1.p1
OG0010765	SPU_021325	TRINITY_DN296939_c0_g1_i1.p1.p1
OG0010766	SPU_021331	TRINITY_DN40210_c0_g1_i6.p1.p1
OG0010767	SPU_021333	TRINITY_DN5354_c0_g1_i2.p1.p1
OG0010768	SPU_021337	TRINITY_DN11613_c0_g1_i4.p1.p1
OG0010769	SPU_021342	TRINITY_DN9045_c0_g1_i1.p1.p1
OG0010770	SPU_021344	TRINITY_DN29566_c0_g1_i1.p1.p1
OG0010771	SPU_021346	TRINITY_DN12871_c0_g1_i1.p1.p1
OG0010772	SPU_021378	TRINITY_DN990_c0_g1_i5.p1.p1
OG0010773	SPU_021384	TRINITY_DN3327_c0_g2_i2.p1.p1
OG0010774	SPU_021391	TRINITY_DN17057_c0_g1_i4.p1.p1
OG0010775	SPU_021398	TRINITY_DN85864_c0_g1_i1.p1.p1
OG0010776	SPU_021400	TRINITY_DN10787_c0_g2_i2.p2.p1
OG0010777	SPU_021411	TRINITY_DN1264_c0_g1_i3.p1.p1
OG0010778	SPU_021413	TRINITY_DN24036_c1_g1_i1.p1.p1
OG0010779	SPU_021417	TRINITY_DN181151_c0_g1_i1.p1.p1
OG0010780	SPU_021419	TRINITY_DN6677_c1_g1_i1.p1.p1
OG0010781	SPU_021426	TRINITY_DN19119_c0_g1_i1.p1.p1
OG0010782	SPU_021429	TRINITY_DN265_c0_g1_i2.p1.p1
OG0010783	SPU_021444	TRINITY_DN36192_c0_g1_i1.p1.p1
OG0010784	SPU_021445	TRINITY_DN14475_c0_g1_i7.p1.p1
OG0010785	SPU_021448	TRINITY_DN17498_c1_g1_i33.p1.p1
OG0010786	SPU_021449	TRINITY_DN727_c0_g1_i8.p2.p1
OG0010787	SPU_021451	TRINITY_DN161576_c0_g1_i1.p1.p1
OG0010788	SPU_021472	TRINITY_DN22012_c0_g1_i1.p1.p1
OG0010789	SPU_021475	TRINITY_DN246999_c0_g1_i1.p1.p1
OG0010790	SPU_021484	TRINITY_DN17814_c0_g1_i1.p1.p1
OG0010791	SPU_021488	TRINITY_DN22874_c0_g1_i2.p1.p1
OG0010792	SPU_021496	TRINITY_DN65421_c1_g1_i2.p1.p2
OG0010793	SPU_021506	TRINITY_DN27443_c0_g1_i3.p1.p1
OG0010794	SPU_021513	TRINITY_DN39247_c0_g1_i2.p1.p1
OG0010795	SPU_021518	TRINITY_DN5411_c0_g1_i3.p1.p1
OG0010796	SPU_021525	TRINITY_DN12441_c0_g1_i1.p1.p1
OG0010797	SPU_021527	TRINITY_DN28538_c0_g1_i4.p1.p1
OG0010798	SPU_021531	TRINITY_DN21219_c0_g1_i3.p1.p1
OG0010799	SPU_021532	TRINITY_DN4650_c0_g1_i3.p1.p1
OG0010800	SPU_021533	TRINITY_DN27231_c0_g1_i21.p1.p1
OG0010801	SPU_021535	TRINITY_DN7553_c0_g1_i8.p1.p1
OG0010802	SPU_021536	TRINITY_DN81437_c0_g1_i1.p1.p1
OG0010803	SPU_021537	TRINITY_DN18952_c0_g1_i4.p1.p1
OG0010804	SPU_021538	TRINITY_DN16274_c0_g1_i4.p1.p1
OG0010805	SPU_021541	TRINITY_DN55327_c0_g1_i3.p1.p1
OG0010806	SPU_021547	TRINITY_DN2881_c0_g2_i2.p1.p1
OG0010807	SPU_021551	TRINITY_DN2532_c1_g1_i1.p1.p1
OG0010808	SPU_021560	TRINITY_DN38777_c0_g1_i2.p1.p1
OG0010809	SPU_021573	TRINITY_DN59248_c0_g1_i4.p1.p1
OG0010810	SPU_021577	TRINITY_DN13188_c0_g1_i2.p1.p1
OG0010811	SPU_021582	TRINITY_DN8132_c0_g1_i6.p1.p1
OG0010812	SPU_021584	TRINITY_DN81146_c0_g1_i1.p1.p1
OG0010813	SPU_021585	TRINITY_DN24174_c0_g1_i5.p1.p1
OG0010814	SPU_021591	TRINITY_DN23839_c0_g1_i5.p1.p1
OG0010815	SPU_021597	TRINITY_DN16328_c0_g1_i4.p1.p1
OG0010816	SPU_021602	TRINITY_DN54656_c0_g1_i6.p2.p1
OG0010817	SPU_021605	TRINITY_DN13137_c0_g1_i10.p1.p1
OG0010818	SPU_021607	TRINITY_DN37841_c0_g1_i4.p1.p1
OG0010819	SPU_021615	TRINITY_DN65_c0_g1_i3.p2.p1
OG0010820	SPU_021616	TRINITY_DN12830_c0_g1_i1.p1.p1
OG0010821	SPU_021624	TRINITY_DN6805_c3_g1_i6.p1.p1
OG0010822	SPU_021627	TRINITY_DN8321_c0_g1_i2.p1.p1
OG0010823	SPU_021634	TRINITY_DN15527_c0_g1_i8.p1.p1
OG0010824	SPU_021637	TRINITY_DN8914_c0_g1_i1.p1.p1
OG0010825	SPU_021638	TRINITY_DN49_c1_g1_i5.p1.p1
OG0010826	SPU_021647	TRINITY_DN8451_c1_g1_i5.p1.p1
OG0010827	SPU_021655	TRINITY_DN25968_c0_g1_i5.p1.p1
OG0010828	SPU_021659	TRINITY_DN1738_c0_g1_i9.p1.p1
OG0010829	SPU_021663	TRINITY_DN220_c0_g1_i3.p1.p1
OG0010830	SPU_021664	TRINITY_DN7741_c0_g1_i4.p1.p1
OG0010831	SPU_021665	TRINITY_DN27565_c0_g1_i3.p1.p1
OG0010832	SPU_021666	TRINITY_DN50476_c0_g1_i1.p1.p1
OG0010833	SPU_021679	TRINITY_DN18714_c0_g1_i3.p1.p1
OG0010834	SPU_021684	TRINITY_DN4232_c0_g1_i1.p1.p1
OG0010835	SPU_021687	TRINITY_DN53516_c0_g1_i1.p1.p1
OG0010836	SPU_021689	TRINITY_DN112929_c0_g1_i1.p1.p1
OG0010837	SPU_021698	TRINITY_DN51562_c0_g1_i1.p1.p1
OG0010838	SPU_021701	TRINITY_DN4982_c0_g1_i6.p1.p1
OG0010839	SPU_021703	TRINITY_DN1835_c0_g1_i4.p1.p1
OG0010840	SPU_021718	TRINITY_DN474_c1_g1_i5.p1.p1
OG0010841	SPU_021721	TRINITY_DN56990_c0_g1_i1.p1.p1
OG0010842	SPU_021722	TRINITY_DN52745_c0_g1_i5.p1.p1
OG0010843	SPU_021723	TRINITY_DN23286_c0_g1_i3.p1.p1
OG0010844	SPU_021728	TRINITY_DN18913_c0_g1_i1.p1.p1
OG0010845	SPU_021732	TRINITY_DN24131_c0_g1_i1.p1.p1
OG0010846	SPU_021734	TRINITY_DN9202_c0_g1_i2.p1.p1
OG0010847	SPU_021736	TRINITY_DN582_c0_g1_i3.p1.p1
OG0010848	SPU_021737	TRINITY_DN11304_c0_g1_i3.p1.p1
OG0010849	SPU_021743	TRINITY_DN35015_c0_g1_i1.p1.p1
OG0010850	SPU_021754	TRINITY_DN60291_c0_g1_i3.p1.p1
OG0010851	SPU_021758	TRINITY_DN2870_c1_g1_i3.p2.p2
OG0010852	SPU_021764	TRINITY_DN5700_c0_g1_i2.p7.p2
OG0010853	SPU_021767	TRINITY_DN26048_c0_g1_i3.p1.p1
OG0010854	SPU_021768	TRINITY_DN17616_c0_g1_i7.p1.p1
OG0010855	SPU_021769	TRINITY_DN626_c0_g3_i1.p1.p1
OG0010856	SPU_021771	TRINITY_DN25368_c0_g1_i12.p1.p1
OG0010857	SPU_021777	TRINITY_DN21742_c0_g1_i4.p1.p1
OG0010858	SPU_021778	TRINITY_DN19275_c0_g1_i3.p1.p1
OG0010859	SPU_021783	TRINITY_DN28426_c0_g1_i4.p1.p1
OG0010860	SPU_021794	TRINITY_DN96700_c0_g1_i5.p1.p1
OG0010861	SPU_021801	TRINITY_DN626_c2_g1_i3.p1.p1
OG0010862	SPU_021807	TRINITY_DN8088_c0_g1_i1.p1.p1
OG0010863	SPU_021808	TRINITY_DN22037_c0_g1_i6.p1.p1
OG0010864	SPU_021810	TRINITY_DN17290_c0_g1_i2.p1.p1
OG0010865	SPU_021813	TRINITY_DN7299_c0_g1_i7.p1.p1
OG0010866	SPU_021816	TRINITY_DN7153_c0_g1_i1.p1.p1
OG0010867	SPU_021817	TRINITY_DN102121_c0_g1_i3.p1.p1
OG0010868	SPU_021822	TRINITY_DN48248_c0_g1_i1.p1.p1
OG0010869	SPU_021825	TRINITY_DN1963_c5_g1_i3.p1.p1
OG0010870	SPU_021830	TRINITY_DN17415_c0_g1_i7.p1.p1
OG0010871	SPU_021835	TRINITY_DN67805_c0_g1_i2.p1.p1
OG0010872	SPU_021845	TRINITY_DN13332_c0_g1_i7.p1.p1
OG0010873	SPU_021846	TRINITY_DN2057_c1_g1_i1.p1.p1
OG0010874	SPU_021856	TRINITY_DN12398_c0_g1_i8.p1.p1
OG0010875	SPU_021864	TRINITY_DN6364_c1_g1_i4.p1.p1
OG0010876	SPU_021866	TRINITY_DN10356_c0_g1_i2.p1.p1
OG0010877	SPU_021870	TRINITY_DN2428_c20_g1_i7.p1.p1
OG0010878	SPU_021872	TRINITY_DN14527_c1_g1_i3.p1.p1
OG0010879	SPU_021880	TRINITY_DN12815_c0_g1_i1.p1.p1
OG0010880	SPU_021881	TRINITY_DN7147_c0_g1_i2.p1.p1
OG0010881	SPU_021882	TRINITY_DN4233_c0_g1_i3.p1.p1
OG0010882	SPU_021896	TRINITY_DN6171_c0_g1_i1.p1.p1
OG0010883	SPU_021897	TRINITY_DN3029_c1_g1_i1.p1.p1
OG0010884	SPU_021898	TRINITY_DN18479_c0_g1_i1.p1.p1
OG0010885	SPU_021899	TRINITY_DN6387_c0_g1_i1.p1.p1
OG0010886	SPU_021903	TRINITY_DN30353_c0_g1_i1.p1.p1
OG0010887	SPU_021912	TRINITY_DN42453_c0_g1_i1.p1.p1
OG0010888	SPU_021915	TRINITY_DN163449_c0_g1_i1.p1.p1
OG0010889	SPU_021923	TRINITY_DN60400_c0_g1_i4.p1.p1
OG0010890	SPU_021926	TRINITY_DN322_c1_g1_i2.p1.p1
OG0010891	SPU_021927	TRINITY_DN8506_c0_g1_i1.p1.p1
OG0010892	SPU_021928	TRINITY_DN438_c2_g1_i6.p1.p1
OG0010893	SPU_021929	TRINITY_DN3554_c0_g1_i2.p1.p1
OG0010894	SPU_021935	TRINITY_DN18105_c0_g1_i2.p1.p1
OG0010895	SPU_021937	TRINITY_DN12147_c0_g1_i4.p1.p1
OG0010896	SPU_021942	TRINITY_DN2179_c1_g1_i1.p1.p1
OG0010897	SPU_021944	TRINITY_DN25972_c0_g1_i2.p1.p1
OG0010898	SPU_021948	TRINITY_DN35263_c0_g1_i1.p1.p1
OG0010899	SPU_021950	TRINITY_DN1880_c1_g1_i2.p1.p1
OG0010900	SPU_021959	TRINITY_DN12571_c0_g1_i2.p1.p1
OG0010901	SPU_021961	TRINITY_DN2795_c0_g1_i5.p1.p1
OG0010902	SPU_021962	TRINITY_DN18203_c0_g1_i2.p1.p1
OG0010903	SPU_021973	TRINITY_DN2103_c1_g1_i2.p1.p1
OG0010904	SPU_021982	TRINITY_DN40310_c1_g1_i1.p1.p1
OG0010905	SPU_021989	TRINITY_DN261640_c0_g1_i2.p1.p1
OG0010906	SPU_021999	TRINITY_DN111128_c0_g1_i3.p1.p1
OG0010907	SPU_022003	TRINITY_DN5146_c0_g1_i6.p1.p1
OG0010908	SPU_022008	TRINITY_DN3323_c1_g1_i1.p1.p1
OG0010909	SPU_022011	TRINITY_DN8458_c0_g1_i21.p1.p1
OG0010910	SPU_022020	TRINITY_DN2668_c0_g1_i4.p1.p1
OG0010911	SPU_022031	TRINITY_DN13237_c0_g1_i4.p1.p1
OG0010912	SPU_022046	TRINITY_DN16908_c0_g1_i4.p1.p1
OG0010913	SPU_022049	TRINITY_DN76525_c0_g1_i1.p1.p1
OG0010914	SPU_022052	TRINITY_DN735_c0_g1_i10.p1.p1
OG0010915	SPU_022058	TRINITY_DN9401_c0_g1_i3.p1.p1
OG0010916	SPU_022059	TRINITY_DN4253_c0_g1_i4.p1.p1
OG0010917	SPU_022069	TRINITY_DN6752_c0_g1_i1.p1.p1
OG0010918	SPU_022071	TRINITY_DN24181_c0_g1_i1.p1.p1
OG0010919	SPU_022073	TRINITY_DN9567_c0_g1_i1.p1.p1
OG0010920	SPU_022074	TRINITY_DN7008_c0_g1_i4.p1.p1
OG0010921	SPU_022080	TRINITY_DN3565_c0_g1_i3.p1.p1
OG0010922	SPU_022092	TRINITY_DN53511_c0_g1_i1.p1.p1
OG0010923	SPU_022099	TRINITY_DN49530_c0_g1_i3.p1.p1
OG0010924	SPU_022103	TRINITY_DN33229_c0_g1_i1.p1.p1
OG0010925	SPU_022104	TRINITY_DN318973_c0_g1_i1.p1.p1
OG0010926	SPU_022107	TRINITY_DN14075_c0_g1_i10.p1.p1
OG0010927	SPU_022126	TRINITY_DN75761_c0_g1_i5.p1.p1
OG0010928	SPU_022140	TRINITY_DN74808_c0_g1_i1.p1.p1
OG0010929	SPU_022141	TRINITY_DN19730_c0_g1_i6.p1.p1
OG0010930	SPU_022144	TRINITY_DN156_c2_g1_i4.p1.p1
OG0010931	SPU_022156	TRINITY_DN30127_c1_g1_i14.p1.p1
OG0010932	SPU_022171	TRINITY_DN120463_c0_g1_i3.p1.p1
OG0010933	SPU_022174	TRINITY_DN116783_c0_g1_i1.p1.p1
OG0010934	SPU_022190	TRINITY_DN4052_c1_g1_i4.p1.p1
OG0010935	SPU_022191	TRINITY_DN6376_c1_g1_i1.p1.p1
OG0010936	SPU_022194	TRINITY_DN2835_c0_g1_i3.p1.p1
OG0010937	SPU_022196	TRINITY_DN3346_c0_g1_i1.p1.p1
OG0010938	SPU_022198	TRINITY_DN7410_c0_g1_i3.p1.p1
OG0010939	SPU_022201	TRINITY_DN8454_c1_g1_i3.p1.p1
OG0010940	SPU_022203	TRINITY_DN25365_c0_g1_i3.p1.p1
OG0010941	SPU_022206	TRINITY_DN14984_c0_g1_i4.p1.p1
